PROGRAM, <identificador>
Fatorial, <identificador>
;, <simb_ponto_virgula>
VAR, <VAR>
n, <identificador>
fatorial, <identificador>
i, <identificador>
:, <simb_dois_pts>
INTEGER, <identificador>
;, <simb_ponto_virgula>
PROCEDURE, <PROCEDURE>
ReadInteger, <identificador>
(, <abre_parenteses>
VAR, <VAR>
x, <identificador>
:, <simb_dois_pts>
INTEGER, <identificador>
), <fecha_parenteses>
;, <simb_ponto_virgula>
BEGIN, <BEGIN>
READ, <identificador>
(, <abre_parenteses>
x, <identificador>
), <fecha_parenteses>
;, <simb_ponto_virgula>
END, <END>
;, <simb_ponto_virgula>
PROCEDURE, <PROCEDURE>
WriteInteger, <identificador>
(, <abre_parenteses>
x, <identificador>
:, <simb_dois_pts>
INTEGER, <identificador>
), <fecha_parenteses>
;, <simb_ponto_virgula>
BEGIN, <BEGIN>
WRITE, <identificador>
(, <abre_parenteses>
x, <identificador>
), <fecha_parenteses>
;, <simb_ponto_virgula>
END, <END>
;, <simb_ponto_virgula>
PROCEDURE, <PROCEDURE>
WriteString, <identificador>
(, <abre_parenteses>
s, <identificador>
:, <simb_dois_pts>
STRING, <identificador>
), <fecha_parenteses>
;, <simb_ponto_virgula>
BEGIN, <BEGIN>
WRITE, <identificador>
(, <abre_parenteses>
s, <identificador>
), <fecha_parenteses>
;, <simb_ponto_virgula>
END, <END>
;, <simb_ponto_virgula>
PROCEDURE, <PROCEDURE>
Fatorial, <identificador>
(, <abre_parenteses>
n, <identificador>
:, <simb_dois_pts>
INTEGER, <identificador>
;, <simb_ponto_virgula>
VAR, <VAR>
f, <identificador>
:, <simb_dois_pts>
INTEGER, <identificador>
), <fecha_parenteses>
;, <simb_ponto_virgula>
VAR, <VAR>
i, <identificador>
:, <simb_dois_pts>
INTEGER, <identificador>
;, <simb_ponto_virgula>
BEGIN, <BEGIN>
f, <identificador>
:=, <simb_atribuicao>
1, <numero>
;, <simb_ponto_virgula>
FOR, <identificador>
i, <identificador>
:=, <simb_atribuicao>
1, <numero>
TO, <identificador>
n, <identificador>
DO, <DO>
f, <identificador>
:=, <simb_atribuicao>
f, <identificador>
*, <simb_multiplicacao>
i, <identificador>
;, <simb_ponto_virgula>
END, <END>
;, <simb_ponto_virgula>
