VAR, VAR 
n, ident
@, <ERRO_LEXICO>
result, ident
;, simbolo_ponto_e_virgula
BEGIN, BEGIN 
n, ident
:=, simbolo_atribuicao
5, numero
;, simbolo_ponto_e_virgula
result, ident
:=, simbolo_atribuicao
1, numero
;, simbolo_ponto_e_virgula
WHILE, WHILE 
n, ident
>, simbolo_maior
0, numero
DO, DO 
result, ident
:=, simbolo_atribuicao
result, ident
*, simbolo_multiplicacao
n, ident
;, simbolo_ponto_e_virgula
n, ident
:=, simbolo_atribuicao
n, ident
-, simbolo_menos
1, numero
;, simbolo_ponto_e_virgula
END, END 
;, simbolo_ponto_e_virgula
WHILE, WHILE 
(, simbolo_abre_parenteses
result, ident
), simbolo_fecha_parenteses
;, simbolo_ponto_e_virgula
END, END 
., simbolo_ponto
